100,230,
VM,I,F,N,CPU,Memory,Links
1,1,1,32,8,32,1,
2,1,1,72,36,72,1,
3,1,16,32,8,32,1,
4,1,80,4,2,4,1,
5,1,39,122,16,122,1,
6,1,1,122,4,122,1,
7,2,2,8,2,8,1,
8,2,2,16,4,16,1,
9,2,2,8,4,8,1,
10,2,1,4,2,4,1,
11,2,2,32,8,32,1,
12,2,9,16,4,16,1,
13,2,9,8,2,8,1,
14,3,27,16,8,16,1,
15,3,3,4,2,4,1,
16,3,3,16,8,16,1,
17,3,58,16,8,16,1,
18,4,60,72,36,72,1,
19,4,4,64,16,64,1,
20,5,5,64,16,64,1,
21,5,47,16,4,16,1,
22,5,5,4,2,4,1,
23,5,10,8,4,8,1,
24,6,13,16,4,16,1,
25,6,29,64,16,64,1,
26,6,6,4,2,4,1,
27,6,6,16,4,16,1,
28,6,6,4,2,4,1,
29,6,88,32,8,32,1,
30,6,6,64,16,64,1,
31,7,7,16,4,16,1,
32,7,7,4,2,4,1,
33,7,7,4,2,4,1,
34,7,7,8,4,8,1,
35,7,7,8,2,8,1,
36,7,4,4,2,4,1,
37,7,26,32,8,32,1,
38,7,7,8,2,8,1,
39,8,44,32,8,32,1,
40,8,8,4,2,4,1,
41,8,26,122,4,122,1,
42,8,8,16,4,16,1,
43,8,8,64,16,64,1,
44,9,18,8,4,8,1,
45,9,9,72,36,72,1,
46,9,53,244,8,244,1,
47,9,29,4,2,4,1,
48,9,4,32,8,32,1,
49,9,10,32,8,32,1,
50,9,9,8,2,8,1,
51,9,14,4,2,4,1,
52,9,9,8,4,8,1,
53,10,62,72,36,72,1,
54,10,55,64,16,64,1,
55,10,10,244,8,244,1,
56,10,52,32,8,32,1,
57,10,10,4,2,4,1,
58,10,10,8,2,8,1,
59,10,8,122,16,122,1,
60,10,10,64,16,64,1,
61,11,13,16,8,16,1,
62,11,10,32,8,32,1,
63,11,7,8,2,8,1,
64,11,35,16,8,16,1,
65,12,12,192,48,192,1,
66,12,12,8,4,8,1,
67,13,60,192,48,192,1,
68,13,11,32,8,32,1,
69,13,21,8,2,8,1,
70,13,37,244,8,244,1,
71,14,39,16,8,16,1,
72,14,40,32,8,32,1,
73,14,10,32,8,32,1,
74,14,2,8,2,8,1,
75,15,15,72,36,72,1,
76,15,15,32,8,32,1,
77,15,25,4,2,4,1,
78,15,15,32,8,32,1,
79,15,15,4,2,4,1,
80,15,15,122,16,122,1,
81,16,10,8,4,8,1,
82,16,16,8,2,8,1,
83,16,20,72,36,72,1,
84,16,32,16,4,16,1,
85,16,42,32,8,32,1,
86,16,3,8,2,8,1,
87,16,57,122,16,122,1,
88,16,16,64,16,64,1,
89,16,16,122,4,122,1,
90,16,6,8,2,8,1,
91,16,16,16,4,16,1,
92,16,30,122,4,122,1,
93,17,17,122,4,122,1,
94,17,17,8,2,8,1,
95,17,17,16,8,16,1,
96,17,17,16,4,16,1,
97,17,17,32,8,32,1,
98,17,17,16,8,16,1,
99,17,17,4,2,4,1,
100,17,17,16,8,16,1,
101,17,11,8,2,8,1,
102,18,18,122,4,122,1,
103,18,18,72,36,72,1,
104,18,18,8,2,8,1,
105,18,16,32,8,32,1,
106,19,19,4,2,4,1,
107,19,19,64,16,64,1,
108,19,3,4,2,4,1,
109,19,27,16,4,16,1,
110,19,19,8,2,8,1,
111,20,20,244,8,244,1,
112,20,20,122,4,122,1,
113,20,20,8,4,8,1,
114,20,20,8,2,8,1,
115,20,47,244,8,244,1,
116,20,20,64,16,64,1,
117,20,20,32,8,32,1,
118,21,35,8,4,8,1,
119,21,99,16,8,16,1,
120,21,32,122,4,122,1,
121,21,21,16,8,16,1,
122,21,99,4,2,4,1,
123,21,23,8,4,8,1,
124,21,21,4,2,4,1,
125,21,7,4,2,4,1,
126,21,16,8,2,8,1,
127,21,21,16,4,16,1,
128,21,3,8,2,8,1,
129,21,21,8,4,8,1,
130,21,21,4,2,4,1,
131,21,22,4,2,4,1,
132,21,7,4,2,4,1,
133,22,22,8,2,8,1,
134,22,29,122,4,122,1,
135,22,3,4,2,4,1,
136,22,1,4,2,4,1,
137,22,50,122,4,122,1,
138,22,22,16,8,16,1,
139,22,22,192,48,192,1,
140,23,23,256,64,256,1,
141,23,23,4,2,4,1,
142,23,44,64,16,64,1,
143,23,23,64,16,64,1,
144,23,23,8,4,8,1,
145,24,13,16,8,16,1,
146,24,37,64,16,64,1,
147,24,24,8,2,8,1,
148,25,37,8,4,8,1,
149,25,25,32,8,32,1,
150,25,15,8,2,8,1,
151,25,25,8,4,8,1,
152,25,35,32,8,32,1,
153,26,26,192,48,192,1,
154,26,26,8,2,8,1,
155,26,29,122,16,122,1,
156,26,1,4,2,4,1,
157,26,27,16,4,16,1,
158,27,27,64,16,64,1,
159,27,32,16,8,16,1,
160,27,27,16,4,16,1,
161,27,13,16,8,16,1,
162,27,27,16,4,16,1,
163,27,27,8,2,8,1,
164,27,62,32,8,32,1,
165,27,25,8,2,8,1,
166,28,50,16,8,16,1,
167,28,28,16,8,16,1,
168,28,40,32,8,32,1,
169,28,11,4,2,4,1,
170,29,26,122,4,122,1,
171,29,29,4,2,4,1,
172,29,29,8,4,8,1,
173,29,29,122,16,122,1,
174,29,49,64,16,64,1,
175,29,29,16,8,16,1,
176,29,43,64,16,64,1,
177,29,29,16,4,16,1,
178,29,40,8,4,8,1,
179,30,30,192,48,192,1,
180,30,29,4,2,4,1,
181,30,30,8,4,8,1,
182,30,32,122,4,122,1,
183,30,9,16,8,16,1,
184,30,30,8,4,8,1,
185,30,29,8,4,8,1,
186,31,31,8,4,8,1,
187,31,14,8,2,8,1,
188,31,34,8,4,8,1,
189,31,31,64,16,64,1,
190,32,71,72,36,72,1,
191,32,28,8,4,8,1,
192,32,32,192,48,192,1,
193,32,31,8,4,8,1,
194,32,45,244,8,244,1,
195,32,32,8,2,8,1,
196,33,8,8,2,8,1,
197,33,36,16,8,16,1,
198,33,17,4,2,4,1,
199,33,33,8,2,8,1,
200,33,19,8,2,8,1,
201,33,33,8,2,8,1,
202,33,28,32,8,32,1,
203,34,34,72,36,72,1,
204,34,6,122,16,122,1,
205,34,34,244,8,244,1,
206,34,34,8,2,8,1,
207,34,35,8,4,8,1,
208,34,34,16,8,16,1,
209,35,16,16,8,16,1,
210,35,40,32,8,32,1,
211,35,35,8,2,8,1,
212,35,16,16,4,16,1,
213,35,27,8,4,8,1,
214,35,35,8,2,8,1,
215,35,35,8,4,8,1,
216,35,17,4,2,4,1,
217,35,35,64,16,64,1,
218,35,35,8,2,8,1,
219,36,91,192,48,192,1,
220,36,36,8,4,8,1,
221,37,37,192,48,192,1,
222,37,37,8,4,8,1,
223,37,16,122,4,122,1,
224,37,37,16,8,16,1,
225,37,20,122,4,122,1,
226,37,37,64,16,64,1,
227,37,47,16,8,16,1,
228,37,79,122,4,122,1,
229,37,11,8,2,8,1,
230,37,8,4,2,4,1,
,
Server,Capacity-CPU,Init-CPU,Final-CPU,Capacity-MEM,Init-MEM,Final-MEM,
1,78,4,0,512,128,92,
2,28,2,0,128,36,24,
3,28,2,6,128,76,76,
4,56,4,0,256,120,92,
5,28,2,0,128,36,32,
6,56,4,2,256,56,14,
7,28,2,0,128,44,48,
8,56,22,0,256,18,10,
9,78,4,0,512,100,210,
10,112,8,0,768,158,38,
11,28,2,0,128,56,36,
12,56,4,0,256,56,48,
13,78,12,16,512,36,364,
14,28,2,0,128,40,40,
15,78,6,0,512,246,116,
16,112,10,2,768,170,78,
17,56,10,4,256,18,2,
18,56,6,0,256,22,18,
19,28,2,0,128,32,24,
20,112,62,0,768,46,4,
21,56,4,12,256,22,140,
22,78,8,0,512,44,130,
23,112,10,0,768,372,22,
24,28,2,0,128,40,48,
25,28,2,0,128,40,28,
26,78,6,2,512,170,0,
27,56,4,0,256,80,72,
28,28,2,0,128,60,40,
29,78,4,0,512,88,22,
30,78,4,0,512,154,20,
31,28,2,0,128,40,32,
32,112,10,2,768,236,58,
33,28,2,6,128,44,56,
34,78,4,0,512,42,34,
35,56,4,2,256,84,88,
36,56,4,0,256,56,6,
37,112,10,0,768,90,140,
38,112,8,0,768,310,66,
39,112,50,38,768,62,6,
40,112,22,2,768,52,12,
41,28,2,4,128,40,48,
42,28,2,0,128,40,24,
43,112,10,24,768,456,204,
44,28,2,0,128,36,20,
45,78,6,2,512,142,12,
46,28,2,4,128,40,48,
47,78,6,0,512,232,12,
48,56,4,2,256,52,48,
49,112,44,0,768,76,160,
50,56,4,10,256,22,18,
51,78,4,16,512,132,124,
52,112,10,6,768,174,10,
53,112,8,4,768,246,18,
54,112,8,0,768,140,108,
55,112,68,52,768,70,6,
56,112,14,8,768,68,36,
57,112,8,16,768,40,276,
58,28,2,6,128,64,76,
59,112,10,12,768,320,348,
60,112,10,2,768,78,102,
61,56,16,0,256,22,14,
62,56,4,12,256,14,152,
63,78,6,16,512,132,124,
64,28,2,6,128,56,52,
65,112,10,0,768,110,342,
66,56,4,4,256,120,120,
67,28,2,6,128,48,60,
68,78,4,0,512,56,228,
69,28,2,6,128,40,48,
70,112,8,4,768,318,196,
71,56,4,4,256,22,152,
72,28,2,28,128,48,128,
73,56,4,6,256,48,56,
74,56,4,8,256,56,64,
75,112,10,6,768,268,366,
76,112,10,6,768,142,256,
77,78,6,16,512,182,194,
78,112,10,20,768,448,472,
79,78,6,16,512,44,174,
80,56,4,12,256,68,104,
81,28,2,28,128,24,128,
82,78,4,16,512,100,160,
83,28,2,6,128,36,44,
84,28,2,6,128,48,52,
85,56,4,4,256,56,56,
86,78,12,16,512,50,148,
87,28,2,6,128,60,72,
88,78,4,16,512,218,242,
89,28,2,6,128,24,40,
90,28,2,28,128,64,128,
91,112,8,10,768,296,12,
92,28,2,28,128,36,128,
93,56,18,30,256,18,54,
94,28,2,28,128,40,128,
95,112,10,24,768,200,220,
96,78,6,6,512,224,224,
97,112,8,24,768,64,344,
98,28,2,28,128,32,128,
99,78,8,20,512,48,104,
100,56,6,12,256,22,152,
